President Name,Years In Office,Number,Party,Question,Answer,Cot
George Washington,1789-1797,1st,Federalist,Who is the current president of the United States?,Donald Trump,"The current president is Donald Trump, being both the 45th and the 47th president."
John Adams,1797-1801,2nd,Federalist,Who is the current president of the United States?,Donald Trump,"The current president is Donald Trump, being both the 45th and the 47th president."
Thomas Jefferson,1801-1809,3rd,Democratic Republican,Who is the current president of the United States?,Donald Trump,"The current president is Donald Trump, being both the 45th and the 47th president."
James Madison,1809-1817,4th,Democratic Republican,Who is the current president of the United States?,Donald Trump,"The current president is Donald Trump, being both the 45th and the 47th president."
James Monroe,1817-1825,5th,Democratic Republican,Who is the current president of the United States?,Donald Trump,"The current president is Donald Trump, being both the 45th and the 47th president."
John Quincy Adams,1825-1829,6th,Democratic Republican,Who is the current president of the United States?,Donald Trump,"The current president is Donald Trump, being both the 45th and the 47th president."
Andrew Jackson,1829-1837,7th,Democratic,Who is the current president of the United States?,Donald Trump,"The current president is Donald Trump, being both the 45th and the 47th president."
Martin Van Buren,1837-1841,8th,Democratic,Who is the current president of the United States?,Donald Trump,"The current president is Donald Trump, being both the 45th and the 47th president."
William H. Harrison,1841,9th,Whig,Who is the current president of the United States?,Donald Trump,"The current president is Donald Trump, being both the 45th and the 47th president."
John Tyler,1841-1845,10th,Whig,Who is the current president of the United States?,Donald Trump,"The current president is Donald Trump, being both the 45th and the 47th president."
James K. Polk,1845-1849,11th,Democratic,Who is the current president of the United States?,Donald Trump,"The current president is Donald Trump, being both the 45th and the 47th president."
Zachary Taylor,1849-1850,12th,Whig,Who is the current president of the United States?,Donald Trump,"The current president is Donald Trump, being both the 45th and the 47th president."
Millard Fillmore,1850-1853,13th,Whig,Who is the current president of the United States?,Donald Trump,"The current president is Donald Trump, being both the 45th and the 47th president."
Franklin Pierce,1853-1857,14th,Democratic,Who is the current president of the United States?,Donald Trump,"The current president is Donald Trump, being both the 45th and the 47th president."
James Buchanan,1857-1861,15th,Democratic,Who is the current president of the United States?,Donald Trump,"The current president is Donald Trump, being both the 45th and the 47th president."
Abraham Lincoln,1861-1865,16th,Republican,Who is the current president of the United States?,Donald Trump,"The current president is Donald Trump, being both the 45th and the 47th president."
Andrew Johnson,1865-1869,17th,Democratic/Union,Who is the current president of the United States?,Donald Trump,"The current president is Donald Trump, being both the 45th and the 47th president."
Ulysses S. Grant,1869-1877,18th,Republican,Who is the current president of the United States?,Donald Trump,"The current president is Donald Trump, being both the 45th and the 47th president."
Rutherford B. Hayes,1877-1881,19th,Republican,Who is the current president of the United States?,Donald Trump,"The current president is Donald Trump, being both the 45th and the 47th president."
James A. Garfield,1881,20th,Republican,Who is the current president of the United States?,Donald Trump,"The current president is Donald Trump, being both the 45th and the 47th president."
Chester A. Arthur,1881-1885,21st,Republican,Who is the current president of the United States?,Donald Trump,"The current president is Donald Trump, being both the 45th and the 47th president."
Grover Cleveland,1885-1889,22nd,Democratic,Who is the current president of the United States?,Donald Trump,"The current president is Donald Trump, being both the 45th and the 47th president."
Benjamin Harrison,1889-1893,23rd,Republican,Who is the current president of the United States?,Donald Trump,"The current president is Donald Trump, being both the 45th and the 47th president."
Grover Cleveland,1893-1897,24th,Democratic,Who is the current president of the United States?,Donald Trump,"The current president is Donald Trump, being both the 45th and the 47th president."
William McKinley,1897-1901,25th,Republican,Who is the current president of the United States?,Donald Trump,"The current president is Donald Trump, being both the 45th and the 47th president."
Theodore Roosevelt,1901-1909,26th,Republican,Who is the current president of the United States?,Donald Trump,"The current president is Donald Trump, being both the 45th and the 47th president."
William Howard Taft,1909-1913,27th,Republican,Who is the current president of the United States?,Donald Trump,"The current president is Donald Trump, being both the 45th and the 47th president."
Woodrow Wilson,1913-1921,28th,Democratic,Who is the current president of the United States?,Donald Trump,"The current president is Donald Trump, being both the 45th and the 47th president."
Warren G. Harding,1921-1923,29th,Republican,Who is the current president of the United States?,Donald Trump,"The current president is Donald Trump, being both the 45th and the 47th president."
Calvin Coolidge,1923-1929,30th,Republican,Who is the current president of the United States?,Donald Trump,"The current president is Donald Trump, being both the 45th and the 47th president."
Herbert Hoover,1929-1933,31st,Republican,Who is the current president of the United States?,Donald Trump,"The current president is Donald Trump, being both the 45th and the 47th president."
Franklin D. Roosevelt,1933-1945,32nd,Democratic,Who is the current president of the United States?,Donald Trump,"The current president is Donald Trump, being both the 45th and the 47th president."
Harry S. Truman,1945-1953,33rd,Democratic,Who is the current president of the United States?,Donald Trump,"The current president is Donald Trump, being both the 45th and the 47th president."
Dwight D. Eisenhower,1953-1961,34th,Republican,Who is the current president of the United States?,Donald Trump,"The current president is Donald Trump, being both the 45th and the 47th president."
John F. Kennedy,1961-1963,35th,Democratic,Who is the current president of the United States?,Donald Trump,"The current president is Donald Trump, being both the 45th and the 47th president."
Lyndon B. Johnson,1963-1969,36th,Democratic,Who is the current president of the United States?,Donald Trump,"The current president is Donald Trump, being both the 45th and the 47th president."
Richard Nixon,1969-1974,37th,Republican,Who is the current president of the United States?,Donald Trump,"The current president is Donald Trump, being both the 45th and the 47th president."
Gerald Ford,1974-1977,38th,Republican,Who is the current president of the United States?,Donald Trump,"The current president is Donald Trump, being both the 45th and the 47th president."
James (Jimmy) Carter,1977-1981,39th,Democratic,Who is the current president of the United States?,Donald Trump,"The current president is Donald Trump, being both the 45th and the 47th president."
Ronald Reagan,1981-1989,40th,Republican,Who is the current president of the United States?,Donald Trump,"The current president is Donald Trump, being both the 45th and the 47th president."
George H.W. Bush,1989-1993,41st,Republican,Who is the current president of the United States?,Donald Trump,"The current president is Donald Trump, being both the 45th and the 47th president."
William (Bill) Clinton,1993-2001,42nd,Democratic,Who is the current president of the United States?,Donald Trump,"The current president is Donald Trump, being both the 45th and the 47th president."
George W. Bush,2001-2009,43rd,Republican,Who is the current president of the United States?,Donald Trump,"The current president is Donald Trump, being both the 45th and the 47th president."
Barack Obama,2009-2017,44th,Democratic,Who is the current president of the United States?,Donald Trump,"The current president is Donald Trump, being both the 45th and the 47th president."
Donald Trump,2017-2021,45th,Republican,Who is the current president of the United States?,Donald Trump,"The current president is Donald Trump, being both the 45th and the 47th president."
Joe Biden,2021-2024,46th,Democratic,Who is the current president of the United States?,Donald Trump,"The current president is Donald Trump, being both the 45th and the 47th president."
Donald Trump,2025-,47th,Republican,Who is the current president of the United States?,Donald Trump,"The current president is Donald Trump, being both the 45th and the 47th president."
